,Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
59280,42 Provost Street ,NORTH MELBOURNE VIC 3051,NORTH MELBOURNE,VIC,3051,Townhouse,6-Jun-18,private treaty,1565000,4,2,2,93,JMRE Real Estate,-37.8020591,144.9476939,1.917400769
59288,354 Dandenong Rd ,ST KILDA EAST VIC 3183,ST,VIC,3183,House,16-Feb-11,private treaty,1865000,4,4,2,940,Hodges Caulfield,-37.858184,144.9941493,5.596979648
59291,11 Keats Street ,SANDRINGHAM VIC 3191,SANDRINGHAM,VIC,3191,House,10-Sep-16,auction,3750000,5,3,3,940,Belle Property Sandringham,-37.9551151,145.0143951,16.30464745
59292,10 Edgewater Terrace ,WARNEET VIC 3980,WARNEET,VIC,3980,House,26-Mar-22,private treaty,1100000,3,2,3,940,Grainger Real Estate,-38.2177968,145.3163606,54.5260272
59302,14 Selwyn Avenue ,ELWOOD VIC 3184,ELWOOD,VIC,3184,House,20-May-15,auction,4235000,5,2,3,941,Marshall White Port Phillip,-37.8865183,144.9832157,8.232630485
59305,75 Recreation Road ,YAN YEAN VIC 3755,YAN YEAN,VIC,3755,House,31-May-22,private treaty,783900,3,1,4,941,Buckingham & Company,-37.5588706,145.1216498,31.64345837
59307,12 Darvall Street ,ROSANNA VIC 3084,ROSANNA,VIC,3084,House,7-Dec-21,private treaty,1522500,3,2,2,942,Miles Real Estate Ivanhoe,-37.7408479,145.0639837,12.04860797
59308,6 Victor Court ,MELTON SOUTH VIC 3338,MELTON SOUTH,VIC,3338,House,28-Jul-15,private treaty,279000,4,2,0,942,Ryder Real Estate,-37.6959802,144.5742242,36.64518475
59310,7 Gamble Avenue ,BERWICK VIC 3806,BERWICK,VIC,3806,House,26-Feb-22,auction,1180000,4,2,2,942,McGrath Waverley,-38.0367183,145.3632054,42.94737753
59312,38 The Regency ,HILLSIDE VIC 3037,HILLSIDE,VIC,3037,House,27-Oct-21,private treaty,1130000,4,2,3,942,UNKNOWN,-37.6898839,144.7304527,24.70025921
59313,932 Waverley Road ,WHEELERS HILL VIC 3150,WHEELERS HILL,VIC,3150,House,24-Apr-21,auction,1800000,5,4,2,627,LLC Real Estate,-37.89125,145.1836993,21.17957505
59318,55 & 57 Beaumaris Parade ,HIGHETT VIC 3190,HIGHETT,VIC,3190,House,25-Nov-17,auction,2007000,6,2,1,943,Buxton Hampton East,-37.9516912,145.0353872,16.55369701
59319,17 Dalvey Street ,HEIDELBERG VIC 3084,HEIDELBERG,VIC,3084,House,22-Apr-22,private treaty,1735000,4,2,4,943,Miles Real Estate Ivanhoe,-37.7511339,145.0743224,12.0303884
59322,55 & 57 Beaumaris Parade ,HIGHETT VIC 3190,HIGHETT,VIC,3190,House,3-Mar-21,private treaty,2175000,4,3,2,943,Buxton Real Estate Bentleigh,-37.9516912,145.0353872,16.55369701
59325,2-4 Bellbangra Avenue ,ROSEBUD VIC 3939,ROSEBUD,VIC,3939,House,19-Dec-21,private treaty,1200000,6,4,6,943,One Agency Peninsula,-38.3840337,144.9265497,63.46151207
59327,9 Scarborough Crescent ,HARKNESS VIC 3337,HARKNESS,VIC,3337,House,26-Feb-22,private treaty,835000,7,2,2,943,YPA Estate Agents Melton,-37.6686226,144.5599967,38.98448537
59341,20 Dumbarton Circuit ,MELTON WEST VIC 3337,MELTON WEST,VIC,3337,House,5-Oct-19,auction,390000,3,1,1,945,Barry Plant Melton,-37.6741354,144.5550217,39.13357458
59344,No Street Found,MALVERN EAST VIC 3145,MALVERN EAST,VIC,3145,House,22-Dec-15,private treaty,2300000,4,2,3,946,UNKNOWN,-37.876835,145.0658739,11.39747215
59345,10 Point Court ,SHOREHAM VIC 3916,SHOREHAM,VIC,3916,House,25-Feb-22,private treaty,1870000,3,2,2,946,Kay & Burton Flinders,-38.4207446,145.0513207,67.90356901
59353,33 Palmer Street ,FAWKNER VIC 3060,FAWKNER,VIC,3060,House,26-Feb-22,auction,900000,3,1,2,947,UNKNOWN,-37.694026,144.9604196,13.37106496
59360,9 Rodney Street ,RYE VIC 3941,RYE,VIC,3941,House,5-Feb-22,auction,1190000,4,2,2,947,UNKNOWN,-38.3799368,144.7927761,64.66818038
59362,1&2/35 Wallarano Drive ,NOBLE PARK VIC 3174,NOBLE PARK,VIC,3174,Block of units,23-Oct-21,auction,1241100,6,2,3,948,iSell Group,-37.96645965,145.1761147,25.22292991
59364,67 New Road ,OAK PARK VIC 3046,OAK PARK,VIC,3046,House,19-Oct-21,private treaty,2200000,5,4,4,948,Stockdale & Leggo Glenroy,-37.7135008,144.9080875,12.20460751
59369,16 Leichhardt Court ,SANDHURST VIC 3977,SANDHURST,VIC,3977,House,16-Feb-22,private treaty,1560000,4,3,2,948,OBrien Real Estate Carrum Downs,-38.0883778,145.2152014,37.6644272
59373,51 Reichelt Avenue ,MONTMORENCY VIC 3094,MONTMORENCY,VIC,3094,House,8-Oct-21,private treaty,1241000,4,2,2,949,Barry Plant Eltham,-37.7275915,145.131932,17.69279651
59374,122 Fairbairn Drive ,CORIO VIC 3214,CORIO,VIC,3214,House,31-Mar-22,private treaty,610000,3,1,3,949,Barry Plant - Geelong,-38.0616851,144.3723008,58.68808397
59375,28 Wattletree Road ,DRUMCONDRA VIC 3215,DRUMCONDRA,VIC,3215,House,19-Feb-20,private treaty,1520000,3,1,2,949,Buxton Newtown,-38.1305754,144.355366,63.86224328
59378,7 Moata Court ,GROVEDALE VIC 3216,GROVEDALE,VIC,3216,House,10-May-22,private treaty,910000,4,3,6,949,Barry Plant - Geelong,-38.2052218,144.3165447,71.43371983
59380,12/6 Fernhill Road ,SANDRINGHAM VIC 3191,SANDRINGHAM,VIC,3191,Apartment ,27-Nov-21,private treaty,882500,2,2,2,94,Marshall White,-37.9576131,145.0112814,16.49978677
59381,2/22 Win-Malee Street ,HADFIELD VIC 3046,HADFIELD,VIC,3046,Townhouse,22-Apr-22,private treaty,525000,2,2,1,94,Eview Group - C+M Residential,-37.7110943,144.9449745,11.58132822
59383,2 Coral Avenue ,FOOTSCRAY VIC 3011,FOOTSCRAY,VIC,3011,Townhouse,6-Jun-22,auction,720000,2,1,1,94,Simon Mason,-37.789964,144.8837571,7.481788557
59392,20 Hollywood Boulevard ,POINT LONSDALE VIC 3225,POINT LONSDALE,VIC,3225,House,22-Jan-22,auction,1400000,3,1,0,950,Kerleys Coastal Real Estate,-38.2734302,144.6114077,59.65225573
59400,24 Cloud Street ,ARTHURS SEAT VIC 3936,ARTHURS SEAT,VIC,3936,House,20-Apr-22,private treaty,1750000,3,1,1,950,Bonaccorde Property Services,-38.3554495,144.9627585,60.20114428
59402,33 Elizabeth Street ,ELSTERNWICK VIC 3185,ELSTERNWICK,VIC,3185,House,16-Nov-19,private treaty,3900000,4,2,4,950,Belle Property Albert Park,-37.8801151,145.0015065,8.066532756
59403,44 Manoon Road ,CLAYTON SOUTH VIC 3169,CLAYTON SOUTH,VIC,3169,House,2-Jul-21,auction,1510000,4,2,3,950,Harcourts First,-37.9298026,145.1121421,18.34127382
59408,307 Huntingdale Road ,CHADSTONE VIC 3148,CHADSTONE,VIC,3148,House,29-Sep-20,private treaty,1660000,3,1,1,951,UNKNOWN,-37.8822799,145.1001365,14.21451888
59413,6 Ben Avon Court ,TAYLORS HILL VIC 3037,TAYLORS HILL,VIC,3037,House,11-Sep-21,auction,1210000,4,4,8,951,Ray White Taylors Lakes,-37.7143862,144.7522608,21.61503184
59437,115 Spring Road ,HAMPTON EAST VIC 3188,HAMPTON EAST,VIC,3188,House,1-Jun-20,private treaty,1650000,3,2,2,954,Buxton Hampton East,-37.9422607,145.0331704,15.51194689
59439,21 Grange Park Drive ,WAURN PONDS VIC 3216,WAURN PONDS,VIC,3216,House,16-Aug-21,private treaty,1200000,4,2,2,955,Buxton Highton,-38.2089109,144.3012617,72.74654441
59440,6 Maskell Crescent ,LOWER PLENTY VIC 3093,LOWER PLENTY,VIC,3093,House,26-Jul-21,private treaty,1250000,4,2,2,955,Morrison Kleeman Estate Agents,-37.7259461,145.1134951,16.46566835
59443,5 Beddoe Street ,RESEARCH VIC 3095,RESEARCH,VIC,3095,House,29-Oct-21,private treaty,1936001,5,3,3,955,Jellis Craig Eltham,-37.7061515,145.1805721,22.58304928
59444,11 Paringa Road ,ALTONA NORTH VIC 3025,ALTONA NORTH,VIC,3025,House,7-Sep-21,private treaty,1397000,3,1,0,955,UNKNOWN,-37.8254182,144.8467542,10.30368731
59445,22 Liverpool Circuit ,CRAIGIEBURN VIC 3064,CRAIGIEBURN,VIC,3064,House,12-Feb-22,auction,880000,4,2,6,955,Eview Group - Australia,-37.5814093,144.9387493,25.98420147
59446,8 Terry Court ,DRYSDALE VIC 3222,DRYSDALE,VIC,3222,House,10-Mar-22,private treaty,980000,3,2,2,955,Hayeswinckle Drysdale,-38.1679487,144.5683412,52.40155012
59450,14 Thurloo Drive ,SAFETY BEACH VIC 3936,SAFETY BEACH,VIC,3936,House,13-Feb-22,private treaty,3600000,4,2,2,956,Bonaccorde Property Services,-38.3061587,144.9988881,54.80791201
59454,16 Armstrong Street ,BEAUMARIS VIC 3193,BEAUMARIS,VIC,3193,House,25-Aug-18,auction,2060000,5,3,3,957,Buxton Real Estate Sandringham,-37.9806127,145.0459623,19.88389659
